component,logMstar,logSFR,logMHI,logMH2,DMS,velocity,class,primary_mechanism,secondary_mechanism,hi_evidence,multiwavelength_evidence,event_sequence,timing,contradictions,history_confidence,gfmr_implication,mauve_tests,key_citations,stage,target_id,yoon_class,koppen_status,preferred_aliases,grade_hi,grade_co,grade_ionized_uv,grade_stars_dust,grade_radio,grade_xray,grade_dynamics,mention_links,unique_bibcodes
NGC4567,10.234349250793455,0.0143494606018066,9.001373520221774,8.70206069946289,-0.0303215980529785,2213,1.0,direct galaxy-galaxy collision,no strong ICM stripping established,H I connects the pair; assigning integrated H I flux to either component is uncertain in the overlap.,"CO and H I show enhanced molecular fraction in the overlap. ALMA resolves a continuous roughly 50 km/s connection and a 1.8 x 0.35 kpc molecular collision-front filament, but later line ratios indicate low excitation rather than a mature dense starburst ridge.",NGC4567 and NGC4568 are undergoing first close contact; localized gas compression and phase conversion precede any merger remnant or global starburst.,"The encounter is early/pre-coalescence, but no defensible absolute pericentre time or Virgo orbital clock is published; cloud free-fall times are not encounter ages.","The system is Yoon 0 and absent from Köppen. Integrated SFR/SFE remains normal within scatter, so a collision front is not equivalent to global enhancement; cluster RPS is not securely established.",high for pair interaction; no secure pair or cluster clock,"Localized H I-to-H2 conversion and mixing can affect resolved gFMR projections, but there is no direct abundance-dilution measurement and no demonstrated galaxy-wide SFE enhancement.",Decompose MUSE velocities and metallicities by component and overlap; keep NGC4567 and NGC4568 gas budgets separate wherever the data allow.,Chung2009;Yoon2017;Nehlig2016;Kaneko2017;Kaneko2018;Kaneko2022;Kaneko2023,pre-peak,NGC4567_8,0,not included,VCC 1673; UGC 7777; NGC 4567; KPG 347a; VV 219a,3,3,2,2,2,0,3,340,340
NGC4568,10.454349517822266,0.2743494510650635,9.206983338571463,9.282060623168944,0.0844786167144775,2260,1.0,direct galaxy-galaxy collision,tidal compression/shear; no strong ICM stripping established,"H I bridges the pair, but component fluxes are blended; NGC4568 has its own catalogued gas and stellar properties.",The molecular collision front is gravitationally bound but low excitation (maximum CO(3-2)/CO(1-0) about 0.17+/-0.04). Radio polarization is consistent with tidal compression/shear rather than strong ongoing RPS.,"NGC4568 participates in the same first-contact event, with localized phase conversion/compression rather than evidence for global stripping or a mature overlap starburst.",The encounter is early/pre-coalescence; no secure absolute encounter time or Virgo pericentre time is published.,Yoon 0 and no Köppen entry support leaving the ICM history unclassified. Resolved SFE is at most slightly enhanced in the overlap and the pair-wide value is normal within uncertainty.,high for pair interaction; no secure pair or cluster clock,Local compression/mixing can move spaxels across resolved FMR projections without implying an ICM sequence; direct oxygen-abundance evidence is still needed.,Fit two stellar/gas velocity systems and exclude overlap spaxels when establishing each component's baseline resolved MZR and SFE.,Chung2009;Yoon2017;Nehlig2016;Kaneko2017;Kaneko2018;Kaneko2022;Kaneko2023;Vollmer2013,pre-peak,NGC4567_8,0,not included,VCC 1676; UGC 7776; NGC 4568; KPG 347b; VV 219b,3,3,2,2,3,0,3,397,397
NGC4298,10.094348907470703,-0.2756505012512207,8.721483093267327,8.95206069946289,-0.2279210090637207,1122,2.0,ram pressure plus interaction with NGC4302,pair tide,"The H I disk is sharply cut on one side and diffuse on the other, with a disturbed distribution in the physical pair.",A compressed radio edge supports an ICM wind; pair geometry and shared disturbances require a tidal contribution.,Mutual gravity perturbed the disks while ram pressure acted on exposed diffuse gas; neither mechanism alone explains every asymmetry.,No tailored event time. The pair's current proximity is observed; a pericentric clock is not.,Yoon II and Köppen active agree on current processing but cannot separate pair and cluster forces.,high for mixed processing; moderate for chronology,"Gas redistribution/compression may raise local SFE even as H I is removed, creating different trajectories in gas-FMR and SFR-FMR space.","Jointly model both disks with MUSE stellar/gas velocities, radio leading edges and CO compression; avoid treating pair membership as mere noise.",Chung2009;Yoon2017;Koppen2018;Vollmer2013;Brown2026;Huang2026,near-peak,NGC4298,II,active,VCC 483; UGC 7412; NGC 4298; KPG 332a,3,3,3,2,3,1,3,364,364
NGC4302,10.454349517822266,-0.2956504821777344,9.19807506825563,8.96205997467041,-0.4855213165283203,1111,2.0,active ram pressure stripping,interaction with NGC4298 and disk-halo flows,The edge-on disk has a southern truncation and northern H I extension/tail.,"Diffuse ionized-gas halo and extraplanar material are well measured; radio data support environmental perturbation, while the companion can affect disk structure.","The ICM is displacing outer gas, superposed on an interacting edge-on pair and ordinary fountain/accretion flows.",No robust stripping clock; morphology indicates a current/recent event.,Yoon II and Köppen active converge on ongoing processing. Extraplanar gas is not automatically stripped gas because disk-halo circulation is an alternative.,moderate-high,Separating fountain gas from stripped gas is essential: recycled metal-rich extraplanar gas and externally removed low-density gas have opposite metallicity implications.,"Use line ratios, rotation lag and metallicity of extraplanar gas to distinguish fountain, accretion and ICM displacement.",Chung2009;Yoon2017;Koppen2018;Brown2021,near-peak,NGC4302,II,active,VCC 497; UGC 7418; NGC 4302; KPG 332b,3,3,2,2,2,1,2,349,349
NGC4330,9.614349365234377,-0.8556504249572754,8.674606110400156,8.202059745788574,-0.491121768951416,1567,2.0,active pre-peak ram pressure stripping,minor internal asymmetry,"A sharply truncated H I disk and one-sided tail, with undisturbed outer stars, directly identify ongoing outside-in stripping.",GALEX/VESTIGE show a radial quenching gradient; CO is also affected but less strongly. Ionized-gas kinematics trace stripped diffuse material.,Outer gas began disappearing first; the stripping front progressed inward while the galaxy approached peak pressure and continues to quench the disk outside-in.,"Tailored modelling places the galaxy about 100 Myr before peak. Resolved stellar-population fits find outer regions quenched roughly 400-600 Myr ago, the Halpha truncation radius about 100 Myr ago, and characteristic local SFR decay times near 50 Myr. These clocks measure different radii/processes.",The model time to pressure peak is not the same as time since quenching at a given radius. Their apparent difference is physically expected in progressive outside-in stripping.,high,"NGC4330 provides a time-ordered test: gas fraction falls first, local SFR follows quickly at each radius, and metallicity can rise through halted dilution and radial-selection effects.","Measure abundance/SFE across the dated quenching front and along the tail, with explicit radius-dependent clocks rather than one galaxy-wide stage.",Chung2009;Yoon2017;Vollmer2009;Abramson2011;Vollmer2012;Fossati2018;Koppen2018,near-peak,NGC4330,II,active,VCC 630; UGC 7456; NGC 4330,3,3,3,3,3,1,3,249,249
NGC4388,10.054348945617676,0.3843495845794678,8.59246566289486,8.752059936523438,0.4584786891937256,2538,2.0,strong recent ram pressure stripping,AGN illumination/outflow,"The severely truncated disk feeds a roughly 110 x 25 kpc, star-poor H I plume containing about 3.4e8 Msun; this is among the clearest direct gas-removal cases.","The 35 kpc ionized VEELR is mostly stripped gas photoionized by the Seyfert nucleus, with shocks in outer/high-velocity regions. X-ray absorption places the H I in front of M86 and favours the main Virgo/M87 atmosphere; CO about 70 kpc down-tail shows inefficient in-situ molecule formation.","A high-pressure encounter removed most outer gas; stripped multiphase material persists far downstream while the active nucleus illuminates, shocks or drives physically distinct ionized components.","The 2009 model is about 150 Myr after peak; updated tailored work gives about 240 Myr after peak, while outer-disk SFHs give 190+/-30 Myr since quenching. These are different clocks, and the tailored peak has no formal statistical error.","MAUVE/Yoon near-peak grouping is morphological, while tailored work is post-peak. Later X-ray geometry weakens the earlier tentative M86-halo origin, though local structure can contribute. No single model fits every disk/tail observable; AGN emission must not be counted as stripped-gas star formation.",very high for stripping; high-moderate for exact ICM/orbit,"Gas loss is extreme, but line ratios are AGN contaminated; SFR-FMR work needs strict HII selection. Tail depletion times of about 1.6e10 to >1.4e12 yr show that gas presence does not imply efficient star formation.","Separate AGN cone, shocks, extraplanar tail and disk HII emission spectroscopically; use metallicity/velocity continuity to identify stripped parcels.",Chung2009;Yoon2017;Oosterloo2005;Yoshida2002;Yoshida2004;Vollmer2009;Vollmer2018;Pappalardo2010;Gu2013;Verdugo2015;Wezgowiec2011;CrowlKenney2008,near-peak,NGC4388,II,active,VCC 836; UGC 7520; NGC 4388,3,3,3,2,3,3,3,1442,1442
NGC4402,10.114349365234377,-0.2056505680084228,8.594603097469754,8.972060203552246,-0.1711218357086181,190,2.0,active ram pressure stripping,dense-cloud decoupling,"A compressed southeastern edge, sharp H I truncation and northwestern extraplanar tail show an ICM wind acting now.",Dust filaments reveal ablation and dense-cloud decoupling; ALMA detects compressed and extraplanar molecular gas. Radio polarization/deficit patterns independently locate the windward edge.,"Diffuse outer gas was stripped first; denser clouds partially decoupled and are now ablated, while even molecular gas is compressed/displaced.",Outer-disk stellar work gives less than about 200 Myr since local quenching; no single tailored time to peak is as secure as for NGC4330/4501/4522.,"The current wind is certain, but individual extraplanar dense clouds may be transiently bound or fall back; molecular removal is not uniform.",high,This is a direct demonstration that environment can alter both gas mass and local SFE. Dense surviving clouds and stripped diffuse gas should occupy different resolved gFMR pathways.,"Pair cloud-scale CO, extinction and metallicity with leading/trailing MUSE maps; identify bound versus escaping components kinematically.",Chung2009;Yoon2017;Crowl2005;CrowlKenney2008;Abramson2014;Lee2017;Cramer2020;Edler2024,near-peak,NGC4402,II,active,VCC 873; UGC 7528; NGC 4402,3,3,3,3,3,1,3,424,424
NGC4424,9.895280838012695,-0.5147197246551514,8.310932556139973,8.182060241699219,-0.3356053829193115,447,2.0,intermediate-ratio merger remnant plus ongoing ram pressure,central starburst outflow,A roughly 110 kpc one-sided H I tail and strongly disturbed central gas coexist with a shell/banana-shaped stellar body.,"Low V/sigma, possible gas counter-rotation and non-circular CO establish a recent roughly 1:4-1:10 merger. VESTIGE finds outside-in Halpha truncation and an RPS tail, while the opposite 10 kpc NW ionized feature is a shock-excited starburst outflow supported by radio polarization.","A gravitational encounter transformed the stellar disk and concentrated gas; ongoing near-face-on ram pressure removed low-density material, while the central burst powered a distinct outflow.","West/east outer-disk quenching times are 281+/-27 and 251+/-14 Myr; a simple central SFH event is 179+/-68 Myr. The merger is inferred within roughly 500 Myr, not dynamically dated.",Yoon II and Köppen active classify the gas morphology but omit the prior merger. The southern stripping tail and NW outflow are physically different; treating all extraplanar gas as one mechanism is wrong.,high for compound history; moderate for detailed ordering,Merger-driven inflow/mixing and selective outer removal can be simultaneous; shock/outflow spaxels and non-HII excitation must be excluded before interpreting metallicity residuals.,"Reconstruct stellar populations and metallicity along shells, central inflow and both tails; use gas-star misalignment to time gravity separately from stripping.",Kenney1996;Cortes2006;Chung2009;Yoon2017;CrowlKenney2008;Boselli2018;Vollmer2013;Koppen2018,near-peak,NGC4424,II,active,VCC 979; UGC 7561; NGC 4424,3,3,3,3,3,1,3,413,413
NGC4501,10.984349250793455,0.4143495559692383,9.24583753707838,9.562060356140137,-0.1253213882446289,2120,2.0,pre-peak ram pressure stripping,internal spiral/bar response,A compressed southwest/southeast H I edge and extended opposite side provide a textbook early-stage wind geometry.,Polarized radio ridge and MAUVE ionized-gas asymmetry support current compression; CO studies show multiphase response rather than simple atomic-only loss.,"The galaxy is approaching maximum pressure; the leading side is compressed while diffuse gas is displaced to the trailing side, before severe symmetric truncation.",Tailored models place it roughly 200-300 Myr before peak (Vollmer 2009 adopts -250 Myr). Model variants span about 190-320 Myr and depend on pressure profile/orientation.,Projected phase space cannot by itself fix the clock; the tailored multi-tracer fit is stronger but still model-dependent. Compression need not imply globally enhanced star formation.,high,"This is the clean pre-peak comparator: pressure can redistribute gas and DIG before major gas depletion, potentially altering local SFE/SFR while total gas remains substantial.","Test leading-versus-trailing metallicity, DIG fraction and CO excitation against the model wind vector; compare with NGC4522 near peak.",Chung2009;Yoon2017;Vollmer2008;Vollmer2009;Nehlig2016;Koppen2018;Brown2026;Wezgowiec2011,near-peak,NGC4501,II,active,M 88; VCC 1401; UGC 7675; NGC 4501,3,3,3,2,3,2,3,849,849
NGC4522,9.644349098205566,-0.7956504821777344,8.557644823738448,8.172060012817383,-0.4509210586547851,2332,2.0,near/post-peak ram pressure stripping,dense-cloud decoupling and ICM-ISM mixing,The H I disk is truncated to roughly 0.35 optical radii with abundant extraplanar gas while the stellar disk is undisturbed.,"HST dust, CO, radio and MUSE all show direct multiphase stripping. New high-resolution radio spectra indicate shock re-acceleration and mixing; extraplanar thermal emission is not solely star formation.","A strong ICM encounter compressed the leading edge, removed diffuse and some molecular gas, and left dense clouds temporarily decoupled in the extraplanar flow.",Tailored modelling gives about 50 Myr after pressure maximum; outer-disk stellar quenching is about 100+/-50 Myr. The pressure excess requires local ICM substructure or relative ICM motion.,"The adopted near-peak label covers an object that best-fit models place just after peak. Static smooth-ICM models underpredict the required pressure, so orbit-only interpretations are inadequate.",very high,"Because shocks/mixing add ionized emission and CO-bearing clouds survive, both Halpha SFR and gas mass require phase-aware measurement. The galaxy is a benchmark for non-equilibrium gFMR tracks.","Separate HII, shock/mixing and DIG components; measure cloud-by-cloud metallicity, CO, and escape/fallback kinematics across the wind interface.",Kenney2004;CrowlKenney2006;Vollmer2006;Chung2009;Vollmer2009;Abramson2014;Lee2017;Yoon2017;Choi2026;Brown2026,near-peak,NGC4522,II,active,VCC 1516; UGC 7711; NGC 4522,3,3,3,3,3,2,3,400,400
NGC4654,10.244349479675291,0.2943494319915771,9.499016988077466,9.192060470581056,0.2430779933929443,1035,2.0,tidal interaction plus weak ram pressure,stellar feedback,A long southeastern H I tail and northwestern compressed edge cannot be reproduced simultaneously by a single simple perturbation.,Models and polarized radio data favour a close tidal encounter with NGC4639 about 500 Myr ago plus weak ongoing pressure; resolved CO/SF work adds feedback and gas-compression constraints.,Tides pulled gas outward and generated asymmetric stellar/gas structure; weak ram pressure then acted efficiently on the loosened gas and continues to shape the outer arm.,"The preferred model places the NGC4639 encounter about 500 Myr ago; ongoing pressure is weak. This is a tidal clock, not time from Virgo pressure peak.",Köppen lists the galaxy as non-deficient despite Yoon II morphology; this is expected because strong asymmetry can occur without large integrated deficiency in a mixed tide+RPS event.,high,"Tides first change gas geometry, then weak pressure removes exposed gas; local SFE/metallicity effects can precede a large global H I deficit.","Map abundance and SFE separately in the tidal inner arm, pressure-dominated outer arm and tail; compare to the published wind/encounter geometry.",Vollmer2003;Soida2006;Chung2009;Yoon2017;Chung2014;Lizee2021;Edler2024,near-peak,NGC4654,II,non-deficient,VCC 1987; UGC 7902; IC 3708; NGC 4654,3,3,2,2,3,1,3,604,604
NGC4694,9.924348831176758,-0.8656506538391113,8.429353677573218,8.092060089111328,-0.705721378326416,1211,2.0,tidal accretion/merger debris,possible secondary ICM reshaping,"A coherent 38-50 kpc, roughly 1.1e9 Msun H I bridge/debris complex connects NGC4694 with the tidal-dwarf candidate VCC2062; its structure, high column density and stellar bridge favour gravity over a clean wind tail.","CO, young stars and 12+log(O/H) about 8.6-8.7 in VCC2062 prove recycled, pre-enriched tidal material. Molecular depletion times are roughly 1-2e10 yr and can reach 6e10 yr locally.",A slow unequal-mass gas-rich merger produced the bridge and tidal dwarf; ram pressure may reshape the debris but is not the primary explanation.,The completed single-nucleus merger is inferred to be several hundred Myr old. CIGALE burst ages are 376+/-99 Myr globally and 313+/-86 Myr in the CO region; neither is a pressure-peak clock.,"Yoon II is contaminated by counting a tidal bridge as a one-sided stripping feature, and Yoon notes the within-disk morphology resembles class III. Köppen's analytical past-strip label is weaker than the dedicated tidal evidence.",very high for tidal history; low for ICM history,"VCC2062 is pre-enriched recycled gas, not pristine inflow or ordinary dwarf chemistry. Merger mixing/inflow may affect NGC4694, but its resolved abundance history remains unmeasured.",Use MUSE metallicity/kinematic continuity from disk to bridge and combine with CO to distinguish recycled accretion from any stripped component.,Duc2007;Lisenfeld2016;Chung2009;Yoon2017;Koppen2018;Brown2026;Huang2026,near-peak,NGC4694,II,past,VCC 2066; UGC 7969; NGC 4694,3,3,3,3,1,0,3,306,306
NGC4064,10.046130180358888,-0.4938697814941406,7.626684233306289,8.27206039428711,-0.414316177368164,1000,3.0,past ram pressure plus gravitational disturbance,star-formation-driven outflow,"H I is confined to the inner few kiloparsecs and strongly deficient, while the outer stellar body is much less truncated.",Non-circular gas and central star formation indicate a gravitational perturbation. MAUVE-MUSE now directly resolves a bipolar ionized outflow with mass loading about 1.66 from the remaining central gas.,"A past encounter/stripping episode removed the outer gas and concentrated what survived; approximately 0.4 Gyr later, residual central star formation is driving a wind that may accelerate final quenching.",Outer-disk stellar quenching is about 425+/-75 Myr. The outflow depletion argument is current and uncertain in electron density/geometry; much outflowing gas may remain bound.,"RPS alone does not explain all non-circular/stellar features. Feedback is a late-stage mechanism, not evidence that the original stripping was feedback-driven.",high for past processing and current outflow; moderate for mechanism ordering,"This is a two-step path: environmental gas loss changes gas fraction, then feedback changes SFR and observable ionized gas. It can depart from equilibrium gFMR expectations in more than one direction.","Measure outflow metallicity and escape fraction, central CO depletion, and stellar-age asymmetry to separate the prior gravitational and hydrodynamic events.",Cortes2006;CrowlKenney2008;Chung2009;Yoon2017;Koppen2018;Attwater2026,post-peak,NGC4064,III,past,UGC 7054; NGC 4064,3,3,3,3,2,1,3,190,190
