key,family,year,title,authors,journal,volume,issue,page,doi,doi_url,type,publisher,inclusion_role,status,error
tonnesen_bryan_2008,model_validation,2008,The Impact of ICM Substructure on Ram Pressure Stripping,"Tonnesen, Stephanie; Bryan, Greg L.",The Astrophysical Journal,684,1,L9-L12,10.1086/592066,https://doi.org/10.1086/592066,journal-article,American Astronomical Society,ICM substructure as a failure mode for smooth analytic pressure,resolved,
vollmer_2009,individual_inversion,2009,A holistic view on ram pressure stripping in the Virgo cluster,"Vollmer, B.",Astronomy &amp; Astrophysics,502,2,427-435,10.1051/0004-6361/200911892,https://doi.org/10.1051/0004-6361/200911892,journal-article,EDP Sciences,model-based Virgo stripping time sequence,resolved,
koppen_etal_2018,cold_disk_rps,2018,Ram pressure stripping made easy: an analytical approach,"Köppen, J; Jáchym, P; Taylor, R; Palouš, J",Monthly Notices of the Royal Astronomical Society,479,4,4367-4390,10.1093/mnras/sty1610,https://doi.org/10.1093/mnras/sty1610,journal-article,Oxford University Press (OUP),peak-pressure versus impulse analytic framework,resolved,
zinger_etal_2018,hot_halo_rps,2018,Quenching of satellite galaxies at the outskirts of galaxy clusters,"Zinger, Elad; Dekel, Avishai; Kravtsov, Andrey V; Nagai, Daisuke",Monthly Notices of the Royal Astronomical Society,475,3,3654-3681,10.1093/mnras/stx3329,https://doi.org/10.1093/mnras/stx3329,journal-article,Oxford University Press (OUP),analytic stripping and starvation outside cluster virial radius,resolved,
singh_etal_2019,cold_disk_rps,2019,Ram pressure stripping: an analytical approach,"Singh, Ankit; Gulati, Mamta; Bagla, Jasjeet S",Monthly Notices of the Royal Astronomical Society,489,4,5582-5593,10.1093/mnras/stz2523,https://doi.org/10.1093/mnras/stz2523,journal-article,Oxford University Press (OUP),annular analytic acceleration model across halo mass,resolved,
vega_martinez_etal_2022,cluster_icm,2021,A new analytic ram pressure profile for satellite galaxies,"Vega-Martínez, Cristian A; Gómez, Facundo A; Cora, Sofía A; Hough, Tomás",Monthly Notices of the Royal Astronomical Society,509,1,701-715,10.1093/mnras/stab2908,https://doi.org/10.1093/mnras/stab2908,journal-article,Oxford University Press (OUP),simulation-calibrated analytic ram-pressure profile,resolved,
singh_etal_2024,cold_disk_rps,2024,Study of dependence of ram pressure stripping on the orbital parameters of the galaxies,"Singh, Ankit; Davessar, Shreya; Gulati, Mamta; Bagla, Jasjeet Singh; Prajapati, Meenu",Monthly Notices of the Royal Astronomical Society,530,1,699-709,10.1093/mnras/stae730,https://doi.org/10.1093/mnras/stae730,journal-article,Oxford University Press (OUP),orbital and inclination extension of analytic stripping,resolved,
kulier_etal_2023,model_validation,2023,Ram Pressure Stripping in the EAGLE Simulation,"Kulier, Andrea; Poggianti, Bianca; Tonnesen, Stephanie; Smith, Rory; Ignesti, Alessandro; Akerman, Nina; Marasco, Antonino; Vulcani, Benedetta; Moretti, Alessia; Wolter, Anna",The Astrophysical Journal,954,2,177,10.3847/1538-4357/aceda3,https://doi.org/10.3847/1538-4357/aceda3,journal-article,American Astronomical Society,cosmological validation of neutral and ionized analytic stripping,resolved,
ghosh_etal_2024,model_validation,2024,Ram pressure stripping in clusters: gravity can bind the ISM but not the CGM,"Ghosh, Ritali; Dutta, Alankar; Sharma, Prateek",Monthly Notices of the Royal Astronomical Society,531,3,3445-3467,10.1093/mnras/stae1345,https://doi.org/10.1093/mnras/stae1345,journal-article,Oxford University Press (OUP),ISM versus CGM anchoring and drag validation,resolved,
cortese_etal_2021,review,2021,The Dawes Review 9: The role of cold gas stripping on the star formation quenching of satellite galaxies,"Cortese, L.; Catinella, B.; Smith, R.",Publications of the Astronomical Society of Australia,38,,e035,10.1017/pasa.2021.18,https://doi.org/10.1017/pasa.2021.18,journal-article,Cambridge University Press (CUP),cold-gas stripping and quenching review,resolved,
boselli_fossati_sun_2022,review,2022,Ram pressure stripping in high-density environments,"Boselli, Alessandro; Fossati, Matteo; Sun, Ming",The Astronomy and Astrophysics Review,30,1,3,10.1007/s00159-022-00140-3,https://doi.org/10.1007/s00159-022-00140-3,journal-article,Springer Science and Business Media LLC,comprehensive ram-pressure review,resolved,
font_etal_2008,semi_analytic_population,2008,The colours of satellite galaxies in groups and clusters,"Font, A. S.; Bower, R. G.; McCarthy, I. G.; Benson, A. J.; Frenk, C. S.; Helly, J. C.; Lacey, C. G.; Baugh, C. M.; Cole, S.",Monthly Notices of the Royal Astronomical Society,389,4,1619-1629,10.1111/j.1365-2966.2008.13698.x,https://doi.org/10.1111/j.1365-2966.2008.13698.x,journal-article,Oxford University Press (OUP),gradual hot-halo stripping in a galaxy-formation model,resolved,
tecce_etal_2010,semi_analytic_population,2010,Ram pressure stripping in a galaxy formation model - I. A novel numerical approach,"Tecce, Tomás E.; Cora, Sofía A.; Tissera, Patricia B.; Abadi, Mario G.; Lagos, Claudia del P.",Monthly Notices of the Royal Astronomical Society,408,4,2008-2021,10.1111/j.1365-2966.2010.17262.x,https://doi.org/10.1111/j.1365-2966.2010.17262.x,journal-article,Oxford University Press (OUP),local-particle ICM ram pressure in a semi-analytic model,resolved,
tecce_etal_2011,cluster_icm,2011,Ram pressure profiles in galaxy groups and clusters,"Tecce, Tomás E.; Cora, Sofía A.; Tissera, Patricia B.",Monthly Notices of the Royal Astronomical Society,416,4,3170-3176,10.1111/j.1365-2966.2011.19267.x,https://doi.org/10.1111/j.1365-2966.2011.19267.x,journal-article,Oxford University Press (OUP),simulation-calibrated analytic ram-pressure profile,resolved,
luo_etal_2016,semi_analytic_population,2016,Resolution-independent modelling of environmental effects in semi-analytic models of galaxy formation that include ram-pressure stripping of both hot and cold gas,"Luo, Yu; Kang, Xi; Kauffmann, Guinevere; Fu, Jian",Monthly Notices of the Royal Astronomical Society,458,1,366-378,10.1093/mnras/stw268,https://doi.org/10.1093/mnras/stw268,journal-article,Oxford University Press (OUP),resolution-independent hot and cold environmental prescriptions,resolved,
cora_etal_2018,semi_analytic_population,2018,Semi-analytic galaxies – I. Synthesis of environmental and star-forming regulation mechanisms,"Cora, Sofía A; Vega-Martínez, Cristian A; Hough, Tomás; Ruiz, Andrés N; Orsi, Álvaro A; Muñoz Arancibia, Alejandra M; Gargiulo, Ignacio D; Collacchioni, Florencia; Padilla, Nelson D; Gottlöber, Stefan; Yepes, Gustavo",Monthly Notices of the Royal Astronomical Society,479,1,2-24,10.1093/mnras/sty1131,https://doi.org/10.1093/mnras/sty1131,journal-article,Oxford University Press (OUP),"SAG gradual stripping, tides, and orphan orbits",resolved,
ayromlou_etal_2019,semi_analytic_population,2019,A new method to quantify environment and model ram-pressure stripping in N-body simulations,"Ayromlou, Mohammadreza; Nelson, Dylan; Yates, Robert M; Kauffmann, Guinevere; White, Simon D M",Monthly Notices of the Royal Astronomical Society,487,3,4313-4331,10.1093/mnras/stz1549,https://doi.org/10.1093/mnras/stz1549,journal-article,Oxford University Press (OUP),local background environment estimator beyond virial radii,resolved,
ayromlou_etal_2021,semi_analytic_population,2021,Galaxy formation with L-GALAXIES: modelling the environmental dependency of galaxy evolution and comparing with observations,"Ayromlou, Mohammadreza; Kauffmann, Guinevere; Yates, Robert M; Nelson, Dylan; White, Simon D M",Monthly Notices of the Royal Astronomical Society,505,1,492-514,10.1093/mnras/stab1245,https://doi.org/10.1093/mnras/stab1245,journal-article,Oxford University Press (OUP),continuous L-GALAXIES environmental stripping beyond virial radii,resolved,
xie_etal_2020,semi_analytic_population,2020,The influence of environment on satellite galaxies in the GAEA semi-analytic model,"Xie, Lizhi; De Lucia, Gabriella; Hirschmann, Michaela; Fontanot, Fabio",Monthly Notices of the Royal Astronomical Society,498,3,4327-4344,10.1093/mnras/staa2370,https://doi.org/10.1093/mnras/staa2370,journal-article,Oxford University Press (OUP),GAEA hot and cold gas environmental evolution,resolved,
stevens_brown_2017,semi_analytic_population,2017,Physical drivers of galaxies’ cold-gas content: exploring environmental and evolutionary effects with Dark Sage,"Stevens, Adam R. H.; Brown, Toby",Monthly Notices of the Royal Astronomical Society,471,1,447-462,10.1093/mnras/stx1596,https://doi.org/10.1093/mnras/stx1596,journal-article,Oxford University Press (OUP),Dark Sage annular cold-gas and environmental evolution,resolved,
wang_etal_2024,model_comparison,2024,Environmental effects on satellite galaxies from the perspective of cold gas,"Chen, Hongxing; Xie, Lizhi; Wang, Jie; Hu, Wenkai; De Lucia, Gabriella; Fontanot, Fabio; Hirschamnn, Michaela",Monthly Notices of the Royal Astronomical Society,528,2,2451-2463,10.1093/mnras/stae162,https://doi.org/10.1093/mnras/stae162,journal-article,Oxford University Press (OUP),"cold-gas comparison of SAMs, simulations, and observations",resolved,
brown_etal_2017,model_validation,2017,Cold gas stripping in satellite galaxies: from pairs to clusters,"Brown, Toby; Catinella, Barbara; Cortese, Luca; Lagos, Claudia del P.; Davé, Romeel; Kilborn, Virginia; Haynes, Martha P.; Giovanelli, Riccardo; Rafieferantsoa, Mika",Monthly Notices of the Royal Astronomical Society,466,2,1275-1289,10.1093/mnras/stw2991,https://doi.org/10.1093/mnras/stw2991,journal-article,Oxford University Press (OUP),observational constraint showing starvation alone is insufficient for HI,resolved,
oman_etal_2013,phase_space,2013,Disentangling satellite galaxy populations using orbit tracking in simulations,"Oman, Kyle A.; Hudson, Michael J.; Behroozi, Peter S.",Monthly Notices of the Royal Astronomical Society,431,3,2307-2316,10.1093/mnras/stt328,https://doi.org/10.1093/mnras/stt328,journal-article,Oxford University Press (OUP),simulation mapping from phase space to orbital history,resolved,
mamon_etal_2010,phase_space,2010,The universal distribution of halo interlopers in projected phase space,"Mamon, G. A.; Biviano, A.; Murante, G.",Astronomy and Astrophysics,520,,A30,10.1051/0004-6361/200913948,https://doi.org/10.1051/0004-6361/200913948,journal-article,EDP Sciences,projected-phase-space interloper distribution and clipping model,resolved,
mahajan_etal_2011,phase_space,2011,The velocity modulation of galaxy properties in and near clusters: quantifying the decrease in star formation in backsplash galaxies,"Mahajan, Smriti; Mamon, Gary A.; Raychaudhury, Somak",Monthly Notices of the Royal Astronomical Society,416,4,2882-2902,10.1111/j.1365-2966.2011.19236.x,https://doi.org/10.1111/j.1365-2966.2011.19236.x,journal-article,Oxford University Press (OUP),probabilistic virial-infall-backsplash populations in phase space,resolved,
hernandez_fernandez_etal_2014,phase_space,2014,Star formation activity and gas stripping in the Cluster Projected Phase-Space (CPPS),"Hernández-Fernández, Jonathan D.; Haines, C. P.; Diaferio, A.; Iglesias-Páramo, J.; Mendes de Oliveira, C.; Vilchez, J. M.",Monthly Notices of the Royal Astronomical Society,438,3,2186-2200,10.1093/mnras/stt2354,https://doi.org/10.1093/mnras/stt2354,journal-article,Oxford University Press (OUP),observational cluster phase space with analytic RPS intensity,resolved,
oman_hudson_2016,phase_space,2016,Satellite quenching time-scales in clusters from projected phase space measurements matched to simulated orbits,"Oman, Kyle A.; Hudson, Michael J.",Monthly Notices of the Royal Astronomical Society,463,3,3083-3095,10.1093/mnras/stw2195,https://doi.org/10.1093/mnras/stw2195,journal-article,Oxford University Press (OUP),projected-phase-space plus delay-time quenching model,resolved,
rhee_etal_2017,phase_space,2017,Phase-space Analysis in the Group and Cluster Environment: Time Since Infall and Tidal Mass Loss,"Rhee, Jinsu; Smith, Rory; Choi, Hoseung; Yi, Sukyoung K.; Jaffé, Yara; Candlish, Graeme; Sánchez-Jánssen, Ruben",The Astrophysical Journal,843,2,128,10.3847/1538-4357/aa6d6c,https://doi.org/10.3847/1538-4357/aa6d6c,journal-article,American Astronomical Society,infall-time and tidal-loss zones in projected phase space,resolved,
yoon_etal_2017,phase_space,2017,A History of H i Stripping in Virgo: A Phase-space View of VIVA Galaxies,"Yoon, Hyein; Chung, Aeree; Smith, Rory; Jaffé, Yara L.",The Astrophysical Journal,838,2,81,10.3847/1538-4357/aa6579,https://doi.org/10.3847/1538-4357/aa6579,journal-article,American Astronomical Society,Virgo HI stripping classes in projected phase space,resolved,
jaffe_etal_2015,phase_space,2015,BUDHIES II: a phase-space view of H i gas stripping and star formation quenching in cluster galaxies,"Jaffé, Yara L.; Smith, Rory; Candlish, Graeme N.; Poggianti, Bianca M.; Sheen, Yun-Kyeong; Verheijen, Marc A. W.",Monthly Notices of the Royal Astronomical Society,448,2,1715-1728,10.1093/mnras/stv100,https://doi.org/10.1093/mnras/stv100,journal-article,Oxford University Press (OUP),analytic RPS region embedded in simulated phase space,resolved,
jaffe_etal_2018,phase_space,2018,GASP. IX. Jellyfish galaxies in phase-space: an orbital study of intense ram-pressure stripping in clusters,"Jaffé, Yara L; Poggianti, Bianca M; Moretti, Alessia; Gullieuszik, Marco; Smith, Rory; Vulcani, Benedetta; Fasano, Giovanni; Fritz, Jacopo; Tonnesen, Stephanie; Bettoni, Daniela; Hau, George; Biviano, Andrea; Bellhouse, Callum; McGee, Sean",Monthly Notices of the Royal Astronomical Society,476,4,4753-4764,10.1093/mnras/sty500,https://doi.org/10.1093/mnras/sty500,journal-article,Oxford University Press (OUP),jellyfish locations and analytic stripping contours,resolved,
jaffe_etal_2018_erratum,errata,2019,Erratum: GASP. IX. Jellyfish galaxies in phase-space: an orbital study of intense ram-pressure stripping in clusters,"Jaffé, Yara L; Poggianti, Bianca M; Moretti, Alessia; Gullieuszik, Marco; Smith, Rory; Vulcani, Benedetta; Fasano, Giovanni; Fritz, Jacopo; Tonnesen, Stephanie; Bettoni, Daniela; Hau, George; Biviano, Andrea; Bellhouse, Callum; McGee, Sean",Monthly Notices of the Royal Astronomical Society,482,3,3454-3457,10.1093/mnras/sty2774,https://doi.org/10.1093/mnras/sty2774,journal-article,Oxford University Press (OUP),published correction to RPS values and figures,resolved,
pasquali_etal_2019,phase_space,2019,Physical properties of SDSS satellite galaxies in projected phase space,"Pasquali, A; Smith, R; Gallazzi, A; De Lucia, G; Zibetti, S; Hirschmann, M; Yi, S K",Monthly Notices of the Royal Astronomical Society,484,2,1702-1723,10.1093/mnras/sty3530,https://doi.org/10.1093/mnras/sty3530,journal-article,Oxford University Press (OUP),mean infall-time zones for projected phase space,resolved,
oman_etal_2021,quenching_clock,2021,A homogeneous measurement of the delay between the onsets of gas stripping and star formation quenching in satellite galaxies of groups and clusters,"Oman, Kyle A; Bahé, Yannick M; Healy, Julia; Hess, Kelley M; Hudson, Michael J; Verheijen, Marc A W",Monthly Notices of the Royal Astronomical Society,501,4,5073-5095,10.1093/mnras/staa3845,https://doi.org/10.1093/mnras/staa3845,journal-article,Oxford University Press (OUP),orbit-PDF delay between gas stripping and star-formation quenching,resolved,
wetzel_etal_2013,quenching_clock,2013,Galaxy evolution in groups and clusters: satellite star formation histories and quenching time-scales in a hierarchical Universe,"Wetzel, Andrew R.; Tinker, Jeremy L.; Conroy, Charlie; van den Bosch, Frank C.",Monthly Notices of the Royal Astronomical Society,432,1,336-358,10.1093/mnras/stt469,https://doi.org/10.1093/mnras/stt469,journal-article,Oxford University Press (OUP),delayed-then-rapid empirical satellite quenching,resolved,
baxter_etal_2022,quenching_clock,2022,The GOGREEN survey: constraining the satellite quenching time-scale in massive clusters at <i>z</i> ≳ 1,"Baxter, Devontae C; Cooper, M C; Balogh, Michael L; Carleton, Timothy; Cerulo, Pierluigi; De Lucia, Gabriella; Demarco, Ricardo; McGee, Sean; Muzzin, Adam; Nantais, Julie; Pintos-Castro, Irene; Reeves, Andrew M M; Rudnick, Gregory H; Sarron, Florian; van der Burg, Remco F J; Vulcani, Benedetta; Wilson, Gillian; Zaritsky, Dennis",Monthly Notices of the Royal Astronomical Society,515,4,5479-5494,10.1093/mnras/stac2149,https://doi.org/10.1093/mnras/stac2149,journal-article,Oxford University Press (OUP),GOGREEN simulation-matched quenching-time model,resolved,
reeves_etal_2023,quenching_clock,2023,Constraining quenching time-scales in galaxy clusters by forward-modelling stellar ages and quiescent fractions in projected phase space,"Reeves, Andrew M M; Hudson, Michael J; Oman, Kyle A",Monthly Notices of the Royal Astronomical Society,522,2,1779-1799,10.1093/mnras/stad1069,https://doi.org/10.1093/mnras/stad1069,journal-article,Oxford University Press (OUP),forward model of stellar ages and quiescent fractions in phase space,resolved,
baxter_etal_2023,quenching_clock,2023,When the well runs dry: modelling environmental quenching of high-mass satellites in massive clusters at <i>z</i> ≳ 1,"Baxter, Devontae C; Cooper, M C; Balogh, Michael L; Rudnick, Gregory H; De Lucia, Gabriella; Demarco, Ricardo; Finoguenov, Alexis; Forrest, Ben; Muzzin, Adam; Reeves, Andrew M M; Sarron, Florian; Vulcani, Benedetta; Wilson, Gillian; Zaritsky, Dennis",Monthly Notices of the Royal Astronomical Society,526,3,3716-3729,10.1093/mnras/stad2995,https://doi.org/10.1093/mnras/stad2995,journal-article,Oxford University Press (OUP),MCMC onset-radius and time-scale model for high-redshift clusters,resolved,
masson_parker_2026,phase_space,2026,Calibrating Galaxy Infall Times in Groups and Clusters with IllustrisTNG Simulations,"Masson, Florine; Parker, Laura C.",The Astrophysical Journal,1000,2,194,10.3847/1538-4357/ae4e21,https://doi.org/10.3847/1538-4357/ae4e21,journal-article,American Astronomical Society,continuous symbolic-regression infall-time estimator calibrated on IllustrisTNG,resolved,
balogh_navarro_morris_2000,starvation,2000,The Origin of Star Formation Gradients in Rich Galaxy Clusters,"Balogh, Michael L.; Navarro, Julio F.; Morris, Simon L.",The Astrophysical Journal,540,1,113-121,10.1086/309323,https://doi.org/10.1086/309323,journal-article,American Astronomical Society,gas-consumption model for star-formation gradients,resolved,
lilly_etal_2013,gas_regulator,2013,"GAS REGULATION OF GALAXIES: THE EVOLUTION OF THE COSMIC SPECIFIC STAR FORMATION RATE, THE METALLICITY-MASS-STAR-FORMATION RATE RELATION, AND THE STELLAR CONTENT OF HALOS","Lilly, Simon J.; Carollo, C. Marcella; Pipino, Antonio; Renzini, Alvio; Peng, Yingjie",The Astrophysical Journal,772,2,119,10.1088/0004-637X/772/2/119,https://doi.org/10.1088/0004-637x/772/2/119,journal-article,American Astronomical Society,gas-regulator equilibrium framework,resolved,
peng_maiolino_2014,gas_regulator,2014,From haloes to Galaxies – I. The dynamics of the gas regulator model and the implied cosmic sSFR history,"Peng, Ying-jie; Maiolino, Roberto",Monthly Notices of the Royal Astronomical Society,443,4,3643-3664,10.1093/mnras/stu1288,https://doi.org/10.1093/mnras/stu1288,journal-article,Oxford University Press (OUP),time-dependent analytic gas regulator,resolved,
carton_etal_2015,gas_regulator,2015,Gas-phase metallicity profiles of the Bluedisk galaxies: Is metallicity in a local star formation regulated equilibrium?,"Carton, David; Brinchmann, Jarle; Wang, Jing; Bigiel, Frank; Cormier, Diane; Hulst, Thijs van der; Józsa, Gyula I. G.; Serra, Paolo; Verheijen, Marc A. W.",Monthly Notices of the Royal Astronomical Society,451,1,210-235,10.1093/mnras/stv967,https://doi.org/10.1093/mnras/stv967,journal-article,Oxford University Press (OUP),local metallicity equilibrium model,resolved,
peng_etal_2015,chemical_clock,2015,Strangulation as the primary mechanism for shutting down star formation in galaxies,"Peng, Y.; Maiolino, R.; Cochrane, R.",Nature,521,7551,192-195,10.1038/nature14439,https://doi.org/10.1038/nature14439,journal-article,Springer Science and Business Media LLC,closed-box strangulation inference from stellar metallicity,resolved,
trussler_etal_2020,chemical_clock,2020,Both starvation and outflows drive galaxy quenching,"Trussler, James; Maiolino, Roberto; Maraston, Claudia; Peng, Yingjie; Thomas, Daniel; Goddard, Daniel; Lian, Jianhui",Monthly Notices of the Royal Astronomical Society,491,4,5406-5434,10.1093/mnras/stz3286,https://doi.org/10.1093/mnras/stz3286,journal-article,Oxford University Press (OUP),closed- and leaky-box quenching models,resolved,
trussler_etal_2021,chemical_clock,2020,The weak imprint of environment on the stellar populations of galaxies,"Trussler, James; Maiolino, Roberto; Maraston, Claudia; Peng, Yingjie; Thomas, Daniel; Goddard, Daniel; Lian, Jianhui",Monthly Notices of the Royal Astronomical Society,500,4,4469-4490,10.1093/mnras/staa3545,https://doi.org/10.1093/mnras/staa3545,journal-article,Oxford University Press (OUP),environmental selection caveat for metallicity clocks,resolved,
fillingham_etal_2016,transport,2016,Under pressure: quenching star formation in low-mass satellite galaxies via stripping,"Fillingham, Sean P.; Cooper, Michael C.; Pace, Andrew B.; Boylan-Kolchin, Michael; Bullock, James S.; Garrison-Kimmel, Shea; Wheeler, Coral",Monthly Notices of the Royal Astronomical Society,463,2,1916-1928,10.1093/mnras/stw2131,https://doi.org/10.1093/mnras/stw2131,journal-article,Oxford University Press (OUP),analytic ram-pressure and turbulent-viscous stripping of low-mass satellites,resolved,
