galaxy,notebook_product_id,mauve_infall_stage,preferred_re_source,ngvs_footprint_covered,ngvs_adopted,ngvs_nonadoption_reason,goldmine_nir_re_arcsec,source_filter,adopted_re_source,adopted_re_value_source,adopted_re_tracer,adopted_re_definition,adopted_re_arcsec,adopted_re_kpc,adopted_re_uncertainty_kpc,adopted_re_typical_uncertainty_dex,center_ra_deg,center_dec_deg,inclination_deg,intrinsic_axis_ratio_q0,axis_ratio_b_over_a,brown_pa_redshifted_deg,pa_deg_east_of_north,a_re_arcsec,b_re_arcsec,distance_mpc,kpc_per_arcsec,a_re_kpc,b_re_kpc,geometry_source,re_reference,geometry_reference,source_retrieval_date,notes
NGC4567,NGC4567_8,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,55.62,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,55.62,4.4492806,,0.05,189.13625000,11.25797778,49,0.2,0.67319901,251,71,55.62,37.443329,16.5,0.079994257,4.4492806,2.9952513,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4568,NGC4567_8,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,49.11,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,49.11,3.928518,,0.05,189.14287500,11.23863056,70,0.2,0.39025462,211,31,49.11,19.165404,16.5,0.079994257,3.928518,1.5331223,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4298,NGC4298,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,45.55,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,45.55,3.6437384,,0.05,185.38650000,14.60612500,52,0.2,0.63551356,132,132,45.55,28.947643,16.5,0.079994257,3.6437384,2.3156452,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4302,NGC4302,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,69.58,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,69.58,5.5660004,,0.05,185.42700000,14.59776111,90,0.2,0.2,356,176,69.58,13.916,16.5,0.079994257,5.5660004,1.1132001,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4330,NGC4330,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,58.46,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,58.46,4.6764643,,0.05,185.82187500,11.36798056,90,0.2,0.2,238,58,58.46,11.692,16.5,0.079994257,4.6764643,0.93529286,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4388,NGC4388,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,43.94,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,43.94,3.5149477,,0.05,186.44508333,12.66206944,83,0.2,0.23293358,271,91,43.94,10.235101,16.5,0.079994257,3.5149477,0.81874933,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4402,NGC4402,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,54.24,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,54.24,4.3388885,,0.05,186.53187500,13.11331667,80,0.2,0.26257864,270,90,54.24,14.242265,16.5,0.079994257,4.3388885,1.1392994,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4424,NGC4424,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,34.07,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,34.07,2.7254043,,0.05,186.79820833,9.42064722,61,0.2,0.51540155,274,94,34.07,17.559731,16.5,0.079994257,2.7254043,1.4046776,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,GOLDMine live API (numeric value); original radius provenance unresolved,"SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter. H filter is confirmed by the GOLDMine FITS header and Boselli+2000; the live radius is absent from Gavazzi+2000 Table 2.
NGC4501,NGC4501,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,62.96,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,62.96,5.0364384,,0.05,187.99645833,14.42031944,65,0.2,0.45984992,320,140,62.96,28.952151,16.5,0.079994257,5.0364384,2.3160058,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4522,NGC4522,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,38.23,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,38.23,3.0581805,,0.05,188.41525000,9.17487222,82,0.2,0.24206277,35,35,38.23,9.2540598,16.5,0.079994257,3.0581805,0.74027164,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4654,NGC4654,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,63.13,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,63.13,5.0500375,,0.05,190.98600000,13.12635000,61,0.2,0.51540155,300,120,63.13,32.5373,16.5,0.079994257,5.0500375,2.6027971,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4694,NGC4694,2,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,22.49,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,22.49,1.7990708,,0.05,192.06287500,10.98362500,62,0.2,0.50158489,323,143,22.49,11.280644,16.5,0.079994257,1.7990708,0.90238676,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4064,NGC4064,3,NGVS g-band curve-of-growth,False,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,,not available,VERTICO IV stellar half-mass radius,"Villanueva et al. 2022 VERTICO IV, Table 1",stellar-mass surface-density profile,radius enclosing 50% of stellar mass integrated to <=1.2 R25,53.378832,4.27,1.05,,181.04662500,18.44345000,70,0.2,0.39025462,150,150,53.378832,20.831336,16.5,0.079994257,4.27,1.6663872,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"Villanueva et al. 2022 ApJ 940, 176 (VERTICO IV)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,"Required fallback: NGC4064 is outside NGVS and GOLDMine HEMPRE is -9/missing. VERTICO IV reports R_e,star = 4.27 +/- 1.05 kpc."
NGC4216,NGC4216,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,68.77,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,68.77,5.5012051,,0.05,183.97683333,13.14940000,90,0.2,0.2,20,20,68.77,13.754,16.5,0.079994257,5.5012051,1.100241,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4293,NGC4293,3,NGVS g-band curve-of-growth,False,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,78.91,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,78.91,6.3123469,,0.05,185.30370833,18.38240000,67,0.2,0.43193053,239,59,78.91,34.083638,16.5,0.079994257,6.3123469,2.7264953,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4380,NGC4380,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,55.8,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,55.8,4.4636796,,0.05,186.34241667,10.01670556,61,0.2,0.51540155,158,158,55.8,28.759406,16.5,0.079994257,4.4636796,2.3005873,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4394,NGC4394,3,NGVS g-band curve-of-growth,False,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,47.46,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,47.46,3.7965275,,0.05,186.48183333,18.21391944,32,0.2,0.85464504,312,132,47.46,40.561454,16.5,0.079994257,3.7965275,3.2446834,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4405,NGC4405,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,18.26,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,18.26,1.4606951,,0.05,186.52975000,16.18099444,46,0.2,0.70939992,18,18,18.26,12.953642,16.5,0.079994257,1.4606951,1.036217,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4419,NGC4419,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,21.92,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,21.92,1.7534741,,0.05,186.73520833,15.04741389,74,0.2,0.33606088,131,131,21.92,7.3664544,16.5,0.079994257,1.7534741,0.58927405,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4450,NGC4450,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,58.97,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,58.97,4.7172614,,0.05,187.12329167,17.08499444,51,0.2,0.6482302,170,170,58.97,38.226135,16.5,0.079994257,4.7172614,3.0578713,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
IC3392,IC3392,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,28.28,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,28.28,2.2622376,,0.05,187.18033333,14.99943333,68,0.2,0.4179915,219,39,28.28,11.8208,16.5,0.079994257,2.2622376,0.94559609,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4457,NGC4457,3,NGVS g-band curve-of-growth,False,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,19.38,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,19.38,1.5502887,,0.05,187.24595833,3.57061667,37,0.2,0.80765459,256,76,19.38,15.652346,16.5,0.079994257,1.5502887,1.2520978,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4548,NGC4548,3,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,76.13,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,76.13,6.0899628,,0.05,188.86016667,14.49632222,37,0.2,0.80765459,318,138,76.13,61.486744,16.5,0.079994257,6.0899628,4.9185864,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
