GALID,stage,variable,bin_left,bin_right,center,N_usable,N_SF,eligible_usable,survivor_support,f_SF,sum_Sigma_SFR_SF,mean_Sigma_SFR_SF_galaxy,mean_Sigma_SFR_all_HII_galaxy
NGC4298,close-to-peak,radius_re,0.75,1.0,0.875,45078,29804,True,True,0.6611650916189715,304.80369454967865,0.010226939154129602,0.0067616951628217455
NGC4298,close-to-peak,radius_re,1.0,1.25,1.125,55395,34260,True,True,0.6184673707013268,212.4011314626864,0.006199682763067321,0.003834301497656583
NGC4298,close-to-peak,radius_re,1.25,1.5,1.375,44824,22272,True,True,0.49687667321077994,137.03281280717624,0.006152694540552095,0.0030571303945916527
NGC4298,close-to-peak,radius_re,1.5,1.75,1.625,20485,7606,True,True,0.37129607029533807,62.494138570929,0.008216426317503156,0.0030507268035601174
NGC4298,close-to-peak,radius_re,1.75,2.0,1.875,8803,796,True,True,0.09042371918664092,1.8274599318167428,0.0022958039344431443,0.00020759513027567226
NGC4298,close-to-peak,radius_re,2.0,2.25,2.125,26,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,2.25,2.5,2.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,2.5,2.75,2.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,2.75,3.0,2.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,3.0,3.25,3.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,3.25,3.5,3.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,3.5,3.75,3.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,3.75,4.0,3.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,4.0,4.25,4.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,4.25,4.5,4.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,4.5,4.75,4.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,4.75,5.0,4.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,5.0,5.25,5.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,5.25,5.5,5.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,5.5,5.75,5.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,7.0,7.25,7.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,7.25,7.5,7.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,7.5,7.75,7.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,7.75,8.0,7.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,7.0,7.25,7.125,1889,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,log_sigma_star,7.25,7.5,7.375,21903,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,log_sigma_star,7.5,7.75,7.625,54066,24,True,True,0.0004439018976806126,0.02511002973404543,0.0010462512389185596,4.644329104066406e-07
NGC4424,close-to-peak,log_sigma_star,7.75,8.0,7.875,40478,434,True,True,0.010721873610356243,2.4642777458539795,0.005678059322244192,6.087943440520726e-05
NGC4424,close-to-peak,log_sigma_star,8.0,8.25,8.125,17413,2629,True,True,0.15097915350600127,46.07385259783521,0.017525238721124083,0.00264594570710591
NGC4424,close-to-peak,log_sigma_star,8.25,8.5,8.375,6587,3852,True,True,0.5847882192196752,215.44405185016677,0.05593043921343893,0.03270746194780124
NGC4424,close-to-peak,log_sigma_star,8.5,8.75,8.625,1966,1836,True,True,0.9338758901322483,243.02194798461358,0.13236489541645619,0.12361238452930497
NGC4424,close-to-peak,log_sigma_star,8.75,9.0,8.875,218,218,True,True,1.0,40.04244831005717,0.18368095555072095,0.18368095555072095
NGC4424,close-to-peak,log_sigma_star,9.0,9.25,9.125,1,1,False,False,,0.0402916066368964,0.0402916066368964,
NGC4424,close-to-peak,log_sigma_star,9.25,9.5,9.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,0.0,0.25,0.125,2934,2775,True,True,0.9458077709611452,379.84673483040183,0.13688170624518986,0.12946378146912127
NGC4424,close-to-peak,radius_re,0.25,0.5,0.375,8820,5012,True,True,0.5682539682539682,163.46005010175708,0.03261373705142799,0.018532885499065427
NGC4424,close-to-peak,radius_re,0.5,0.75,0.625,14677,1088,True,True,0.07412959051577298,3.4210422705040444,0.0031443403221544527,0.00023308866052354325
NGC4424,close-to-peak,radius_re,0.75,1.0,0.875,20558,119,True,True,0.00578850082692869,0.3841529222347035,0.0032281758170983484,1.868629838674499e-05
NGC4424,close-to-peak,radius_re,1.0,1.25,1.125,26429,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,radius_re,1.25,1.5,1.375,31889,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,radius_re,1.5,1.75,1.625,25616,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,radius_re,1.75,2.0,1.875,10783,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,radius_re,2.0,2.25,2.125,2749,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,radius_re,2.25,2.5,2.375,66,0,True,False,0.0,0.0,,0.0
NGC4424,close-to-peak,radius_re,2.5,2.75,2.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,2.75,3.0,2.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,3.0,3.25,3.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,3.25,3.5,3.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,3.5,3.75,3.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,3.75,4.0,3.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,4.0,4.25,4.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,4.25,4.5,4.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,4.5,4.75,4.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,4.75,5.0,4.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,5.0,5.25,5.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,5.25,5.5,5.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,5.5,5.75,5.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,7.0,7.25,7.125,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,7.25,7.5,7.375,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,7.5,7.75,7.625,0,0,False,False,,0.0,,
NGC4424,close-to-peak,radius_re,7.75,8.0,7.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,7.0,7.25,7.125,2232,82,True,True,0.036738351254480286,0.38262462338145925,0.0046661539436763325,0.00017142680259025952
NGC4501,close-to-peak,log_sigma_star,7.25,7.5,7.375,14173,1006,True,True,0.07098003245607847,3.928852220561084,0.003905419702347002,0.00027720681722719846
NGC4501,close-to-peak,log_sigma_star,7.5,7.75,7.625,57181,11147,True,True,0.194942375964044,74.17546562821953,0.006654298522312687,0.0012972047643136624
NGC4501,close-to-peak,log_sigma_star,7.75,8.0,7.875,146892,45894,True,True,0.31243362470386404,374.12129701570007,0.00815185638679784,0.002546914038992594
NGC4501,close-to-peak,log_sigma_star,8.0,8.25,8.125,171345,68606,True,True,0.40039686013598297,724.7609526320219,0.01056410448987001,0.004229834267892392
NGC4501,close-to-peak,log_sigma_star,8.25,8.5,8.375,105525,55139,True,True,0.5225207296849088,1038.2940143742583,0.018830483221934716,0.00983931783344476
NGC4501,close-to-peak,log_sigma_star,8.5,8.75,8.625,73107,45149,True,True,0.6175742404968061,1194.3736289754975,0.026454043920695863,0.016337336082392896
NGC4501,close-to-peak,log_sigma_star,8.75,9.0,8.875,48266,23257,True,True,0.4818505780466581,752.0457494998859,0.032336318076273206,0.015581273556952843
NGC4501,close-to-peak,log_sigma_star,9.0,9.25,9.125,20067,1274,True,True,0.06348731748642049,42.399708610491764,0.033280775989396987,0.0021129071914332866
NGC4501,close-to-peak,log_sigma_star,9.25,9.5,9.375,6902,53,True,True,0.0076789336424224865,5.058189570634812,0.09543753906858135,0.0007328585295037398
NGC4501,close-to-peak,log_sigma_star,9.5,9.75,9.625,3104,0,True,False,0.0,0.0,,0.0
NGC4501,close-to-peak,log_sigma_star,9.75,10.0,9.875,1175,0,True,False,0.0,0.0,,0.0
NGC4501,close-to-peak,log_sigma_star,10.0,10.25,10.125,420,0,True,False,0.0,0.0,,0.0
NGC4501,close-to-peak,log_sigma_star,10.25,10.5,10.375,119,0,True,False,0.0,0.0,,0.0
NGC4501,close-to-peak,log_sigma_star,10.5,10.75,10.625,51,0,True,False,0.0,0.0,,0.0
NGC4501,close-to-peak,log_sigma_star,10.75,11.0,10.875,17,0,False,False,,0.0,,
NGC4501,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,0.0,0.25,0.125,8951,44,True,True,0.004915651882471232,4.986329991048652,0.11332568161474209,0.0005570696001618424
NGC4501,close-to-peak,radius_re,0.25,0.5,0.375,26850,1849,True,True,0.06886405959031658,72.63402546076156,0.039282869367637405,0.002705177857011604
NGC4501,close-to-peak,radius_re,0.5,0.75,0.625,44746,24411,True,True,0.5455459705895499,840.9269433774622,0.03444868884426948,0.01879334339108439
NGC4501,close-to-peak,radius_re,0.75,1.0,0.875,62614,34465,True,True,0.5504360047273773,872.2144262576011,0.025307251596042392,0.013930022459156116
NGC4501,close-to-peak,radius_re,1.0,1.25,1.125,80520,49189,True,True,0.6108917039244908,904.245599539863,0.01838308563987605,0.011230074509933718
NGC4501,close-to-peak,radius_re,1.25,1.5,1.375,98326,39953,True,True,0.406331997640502,603.6464875109957,0.015108915163091525,0.006139235680399851
NGC4501,close-to-peak,radius_re,1.5,1.75,1.625,116281,46780,True,True,0.40230132179805816,482.7646423270426,0.010319894021527205,0.004151707005676272
NGC4501,close-to-peak,radius_re,1.75,2.0,1.875,108305,43158,True,True,0.39848575781358203,367.3186372047011,0.008511020835180062,0.0033915205872739125
NGC4501,close-to-peak,radius_re,2.0,2.25,2.125,68411,10243,True,True,0.14972738302319802,57.94158722941093,0.005656700891282918,0.000846963020996783
NGC4501,close-to-peak,radius_re,2.25,2.5,2.375,30793,1447,True,True,0.046991199298541876,2.7931607962236504,0.0019303115385097792,9.070765421438802e-05
NGC4501,close-to-peak,radius_re,2.5,2.75,2.625,4612,68,True,True,0.014744145706851692,0.06864345554205414,0.0010094625815007963,1.488366338726239e-05
NGC4501,close-to-peak,radius_re,2.75,3.0,2.875,167,0,True,False,0.0,0.0,,0.0
NGC4501,close-to-peak,radius_re,3.0,3.25,3.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,3.25,3.5,3.375,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,3.5,3.75,3.625,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,3.75,4.0,3.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,4.0,4.25,4.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,4.25,4.5,4.375,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,4.5,4.75,4.625,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,4.75,5.0,4.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,5.0,5.25,5.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,5.25,5.5,5.375,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,5.5,5.75,5.625,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,7.0,7.25,7.125,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,7.25,7.5,7.375,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,7.5,7.75,7.625,0,0,False,False,,0.0,,
NGC4501,close-to-peak,radius_re,7.75,8.0,7.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,6.5,6.75,6.625,2090,1655,True,True,0.7918660287081339,2.274420882970237,0.0013742724368400224,0.0010882396569235585
NGC4654,close-to-peak,log_sigma_star,6.75,7.0,6.875,17548,9943,True,True,0.5666172783223159,22.69311099617843,0.002282320325473039,0.0012932021310792358
NGC4654,close-to-peak,log_sigma_star,7.0,7.25,7.125,79681,31399,True,True,0.3940588095028928,93.33188583456833,0.002972447715996316,0.001171319208275101
NGC4654,close-to-peak,log_sigma_star,7.25,7.5,7.375,139298,65136,True,True,0.46760183204353256,294.58514942671434,0.004522616516622365,0.0021147837688029573
NGC4654,close-to-peak,log_sigma_star,7.5,7.75,7.625,128565,77694,True,True,0.6043168825107922,638.2327355641542,0.008214697860377302,0.0049642806017512866
NGC4654,close-to-peak,log_sigma_star,7.75,8.0,7.875,80423,64198,True,True,0.7982542307548836,1056.641434462154,0.016459102066453065,0.013138547858972607
NGC4654,close-to-peak,log_sigma_star,8.0,8.25,8.125,47077,41517,True,True,0.8818956178176179,1002.359169044231,0.024143342944919693,0.02129190834259258
NGC4654,close-to-peak,log_sigma_star,8.25,8.5,8.375,26077,21164,True,True,0.811596425969245,586.1271694287027,0.02769453645004265,0.022476786801729598
NGC4654,close-to-peak,log_sigma_star,8.5,8.75,8.625,9202,6413,True,True,0.6969137144099109,267.02530286977503,0.04163812612970139,0.029018181142118564
NGC4654,close-to-peak,log_sigma_star,8.75,9.0,8.875,2568,1560,True,True,0.6074766355140186,209.0045871989668,0.13397729948651718,0.08138807912732351
NGC4654,close-to-peak,log_sigma_star,9.0,9.25,9.125,316,102,True,True,0.3227848101265823,34.796951313852155,0.3411465815083545,0.11011693453750682
NGC4654,close-to-peak,log_sigma_star,9.25,9.5,9.375,32,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,9.5,9.75,9.625,5,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,9.75,10.0,9.875,1,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,0.0,0.25,0.125,10080,6633,True,True,0.6580357142857143,490.1768743512696,0.07389972476274229,0.04862865816976881
NGC4654,close-to-peak,radius_re,0.25,0.5,0.375,30249,23241,True,True,0.7683229197659427,482.1697328370934,0.020746514041439415,0.015940022243283856
NGC4654,close-to-peak,radius_re,0.5,0.75,0.625,50421,45590,True,True,0.9041867475853315,870.6239377514892,0.01909681811255734,0.01726708985842187
NGC4654,close-to-peak,radius_re,0.75,1.0,0.875,70582,52335,True,True,0.741477997223088,766.6178601829962,0.014648282414884804,0.010861379107746963
NGC4654,close-to-peak,radius_re,1.0,1.25,1.125,90513,55570,True,True,0.6139449581828025,699.3187951812805,0.012584466352011527,0.007726169668238601
NGC4654,close-to-peak,radius_re,1.25,1.5,1.375,109794,66674,True,True,0.6072645135435452,677.8653699797411,0.010166862194854683,0.006173974625022689
NGC4654,close-to-peak,radius_re,1.5,1.75,1.625,107272,46258,True,True,0.43122156760384817,156.2689380108865,0.0033782035109794304,0.0014567542136893737
NGC4654,close-to-peak,radius_re,1.75,2.0,1.875,56493,21871,True,True,0.38714531003841185,56.45846122171835,0.0025814302602404256,0.0009993886184433177
NGC4654,close-to-peak,radius_re,2.0,2.25,2.125,7479,2609,True,True,0.34884342826581094,7.571947505791999,0.002902241282403986,0.00101242779860837
NGC4654,close-to-peak,radius_re,2.25,2.5,2.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,2.5,2.75,2.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,2.75,3.0,2.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,3.0,3.25,3.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,3.25,3.5,3.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,3.5,3.75,3.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,3.75,4.0,3.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,4.0,4.25,4.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,4.25,4.5,4.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,4.5,4.75,4.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,4.75,5.0,4.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,5.0,5.25,5.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,5.25,5.5,5.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,5.5,5.75,5.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,7.0,7.25,7.125,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,7.25,7.5,7.375,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,7.5,7.75,7.625,0,0,False,False,,0.0,,
NGC4654,close-to-peak,radius_re,7.75,8.0,7.875,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,7.0,7.25,7.125,485,0,True,False,0.0,0.0,,0.0
NGC4694,close-to-peak,log_sigma_star,7.25,7.5,7.375,6976,0,True,False,0.0,0.0,,0.0
NGC4694,close-to-peak,log_sigma_star,7.5,7.75,7.625,20119,0,True,False,0.0,0.0,,0.0
NGC4694,close-to-peak,log_sigma_star,7.75,8.0,7.875,19165,0,True,False,0.0,0.0,,0.0
NGC4694,close-to-peak,log_sigma_star,8.0,8.25,8.125,16832,27,True,True,0.001604087452471483,0.14437854713887377,0.0053473535977360655,8.577622810056663e-06
NGC4694,close-to-peak,log_sigma_star,8.25,8.5,8.375,10923,126,True,True,0.011535292502059874,2.499288112169739,0.01983561993785507,0.00022880967794284892
NGC4694,close-to-peak,log_sigma_star,8.5,8.75,8.625,5755,287,True,True,0.04986967854039965,6.313031948868428,0.02199662699954156,0.0010969647174402133
NGC4694,close-to-peak,log_sigma_star,8.75,9.0,8.875,2343,310,True,True,0.13230900554844216,26.292367182279666,0.08481408768477311,0.011221667598070707
NGC4694,close-to-peak,log_sigma_star,9.0,9.25,9.125,466,290,True,True,0.6223175965665236,58.27855662319091,0.20096054007996866,0.12506128030727662
NGC4694,close-to-peak,log_sigma_star,9.25,9.5,9.375,26,18,False,False,,6.440681090287567,0.35781561612708707,
NGC4694,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,False,False,,0.0,,
NGC4694,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,False,False,,0.0,,
NGC4694,close-to-peak,radius_re,0.0,0.25,0.125,1247,550,True,True,0.4410585404971933,89.45324434778101,0.16264226245051092,0.0717347588995838
NGC4694,close-to-peak,radius_re,0.25,0.5,0.375,3735,143,True,True,0.038286479250334675,3.2094325310683205,0.0224435841333449,0.0008592858182244499
NGC4694,close-to-peak,radius_re,0.5,0.75,0.625,6228,345,True,True,0.05539499036608863,7.239806296425807,0.02098494578674147,0.001162460869689436
NGC4694,close-to-peak,radius_re,0.75,1.0,0.875,8721,0,True,False,0.0,0.0,,0.0
NGC4694,close-to-peak,radius_re,1.0,1.25,1.125,11193,20,True,True,0.001786831055123738,0.06582032866004058,0.0032910164330020287,5.880490365410576e-06
